atom,element,valence_electron,bader_charge,delta_q
79,Ag,11,10.975231,0.024768999999999153
80,Ag,11,11.013911,-0.013911000000000229
81,Ag,11,10.974167,0.02583300000000044
82,Ag,11,10.982041,0.017958999999999392
83,Ag,11,10.98472,0.015280000000000626
84,Ag,11,10.984703,0.015297000000000338
85,Ag,11,10.978028,0.02197199999999988
86,Ag,11,10.972212,0.027787999999999258
87,Ag,11,10.968091,0.03190900000000063
88,Ag,11,10.973733,0.026267000000000706
89,Ag,11,10.991012,0.00898800000000044
90,Ag,11,10.967937,0.03206300000000084
91,Ag,11,10.973051,0.026949000000000112
92,Ag,11,10.979102,0.02089800000000075
93,Ag,11,10.969261,0.030739000000000516
94,Ag,11,10.96646,0.03354000000000035
95,Ag,11,10.968518,0.031482000000000454
96,Ag,11,10.956327,0.04367300000000007
97,Ag,11,10.959687,0.04031299999999938
98,Ag,11,11.013549,-0.013548999999999367
99,Ag,11,11.018297,-0.018297000000000452
100,Ag,11,11.020209,-0.020208999999999477
101,Ag,11,11.022424,-0.022424000000000888
102,Ag,11,11.025462,-0.025461999999999207
103,Ag,11,11.023822,-0.02382199999999912
104,Ag,11,11.015411,-0.015411000000000286
105,Ag,11,10.851884,0.14811599999999991
106,Ag,11,11.026294,-0.02629400000000004
107,Ag,11,11.020781,-0.020780999999999494
108,Ag,11,10.996958,0.0030420000000006553
109,Ag,11,11.016779,-0.016778999999999655
110,Ag,11,10.849911,0.15008899999999947
111,Ag,11,11.030277,-0.030276999999999887
112,Ag,11,11.017677,-0.01767700000000083
113,Ag,11,11.009145,-0.00914500000000018
114,Ag,11,11.027603,-0.027602999999999156
115,Ag,11,11.023764,-0.023763999999999896
116,Ag,11,11.024173,-0.024172999999999334
117,Ag,11,11.024525,-0.024525000000000574
118,Ag,11,11.036348,-0.03634800000000027
119,Ag,11,10.852131,0.14786900000000003
120,Ag,11,11.020791,-0.020790999999999116
121,Ag,11,11.01531,-0.01530999999999949
122,Ag,11,11.017686,-0.017685999999999424
123,O,6,7.300747,-1.3007470000000003
124,H,1,0.312885,0.6871149999999999
