     Total force =     0.004813     Total SCF correction =     0.000049

     DFT-D3 dispersion Force =     0.021909
     Energy error            =      4.2E-05 Ry
     Gradient error          =      1.3E-03 Ry/Bohr

     number of scf cycles    =  90
     number of bfgs steps    =  89

     energy             old  =   -3763.8381952848 Ry
     energy             new  =   -3763.8382373033 Ry

     CASE: energy            _new < energy            _old

     new trust radius        =       0.0221179503 bohr
     new conv_thr            =       0.0000000010 Ry


ATOMIC_POSITIONS (angstrom)
Ni               0.0000000000        0.0000000000       10.0000000187    0   0   0
Ni               1.2286496544        2.1280836261       10.0000000187    0   0   0
Ni               2.4572993456        4.2561673160       10.0000000187    0   0   0
Ni               2.4572993088        0.0000000000       10.0000000187    0   0   0
Ni               3.6859489631        2.1280836261       10.0000000187    0   0   0
Ni               4.9145986544        4.2561673160       10.0000000187    0   0   0
Ni               4.9145986912        0.0000000000       10.0000000187    0   0   0
Ni               6.1432483456        2.1280836261       10.0000000187    0   0   0
Ni               7.3718980369        4.2561673160       10.0000000187    0   0   0
Ni               1.6381995392        1.4187224174       12.0063764263    0   0   0
Ni               2.8668492304        3.5468061073       12.0063764263    0   0   0
Ni               4.0954988848        5.6748897334       12.0063764263    0   0   0
Ni               4.0954988479        1.4187224174       12.0063764263    0   0   0
Ni               5.3241485392        3.5468061073       12.0063764263    0   0   0
Ni               6.5527981936        5.6748897334       12.0063764263    0   0   0
Ni               6.5527982304        1.4187224174       12.0063764263    0   0   0
Ni               7.7814479217        3.5468061073       12.0063764263    0   0   0
Ni               9.0100975760        5.6748897334       12.0063764263    0   0   0
Ni               2.2516038664        0.3562485209       14.0176456028    0   0   0
Ni               3.4802476365        2.4843745586       14.0183791162    0   0   0
Ni               4.7089381109        4.6123818264       14.0169952596    0   0   0
Ni               4.7088899085        0.3562448836       14.0174492137    0   0   0
Ni               5.9375765867        2.4843175622       14.0172270338    0   0   0
Ni               7.1661917015        4.6124553567       14.0183791162    0   0   0
Ni               7.1661864210        0.3563029066       14.0178601745    0   0   0
Ni               8.3948849266        2.4843550995       14.0174492137    0   0   0
Ni               9.6235247977        4.6124290550       14.0176456028    0   0   0
Ni               0.9462791481       -0.3876210952       15.9293709073
Ni               2.2386413466        1.7917327092       16.0229118857
Ni               3.4730687228        3.8726264475       15.9239503911
Ni               3.5240211023       -0.3938241775       15.9682510217
Ni               4.6144792301        1.7115276838       15.9145502214
Ni               5.9254710511        3.9575712036       16.1757953569
Ni               5.9285830382       -0.3106285736       16.0209436545
Ni               7.2014785634        1.7276350449       15.9489693740
Ni               8.3190569987        3.8510566075       15.9441620749
O                6.1007558213        2.3699372540       20.4142416672
O                5.5926340770        3.6415258548       18.1166592269
O                5.5382787595        3.8294011887       22.8737167972
C                5.6597337682        3.7402696087       20.4946474732
C                6.0508129321        4.4651162776       19.2092569272
C                6.1532378607        4.4468273039       21.7412304623
H                4.5616227075        3.6682635969       20.5405024931
H                7.1408874529        4.6216711982       19.1278599141
H                5.5462754134        5.4320905962       19.0928875296
H                5.8945624016        5.5195495361       21.6708116849
H                7.2566757717        4.3697600397       21.7906219874
H                7.0638687718        2.3436952367       20.5650701066
H                5.8133242780        2.7077365658       18.3356861381
H                5.9077508886        4.2216761752       23.6805282695



     Writing config-only to output data dir ./output/VLAB.save/ :
     XML data file
     NEW-OLD atomic charge density approx. for the potential

     Check: negative core charge=   -0.000002

     negative rho (up, down):  2.352E-03 0.000E+00
